Symbol,ID,is_feature_control,is_feature_control_mitochondrial,is_feature_control_ribosomal,mean_counts,log10_mean_counts,n_cells_by_counts,pct_dropout_by_counts,total_counts,log10_total_counts
RP11-34P13.3,ENSG00000243485,0,0,0,0.0,0.0,0,100.0,0.0,0.0
FAM138A,ENSG00000237613,0,0,0,0.0,0.0,0,100.0,0.0,0.0
OR4F5,ENSG00000186092,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP11-34P13.7,ENSG00000238009,0,0,0,0.0021529628870207095,0.0009340148123568948,20,99.79495591552183,21.0,1.3424226808222062
RP11-34P13.8,ENSG00000239945,0,0,0,0.0004100881689563256,0.00017806252069994778,4,99.95899118310436,4.0,0.6989700043360189
RP11-34P13.14,ENSG00000239906,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP11-34P13.9,ENSG00000241599,0,0,0,0.0,0.0,0,100.0,0.0,0.0
FO538757.3,ENSG00000279928,0,0,0,0.0,0.0,0,100.0,0.0,0.0
FO538757.2,ENSG00000279457,0,0,0,0.10108673364773427,0.041821530107989315,936,90.40393684642198,986.0,2.9943171526696366
AP006222.2,ENSG00000228463,0,0,0,0.04459708837400041,0.018948810985114882,423,95.66331761328686,435.0,2.639486489268586
RP5-857K21.15,ENSG00000236743,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP4-669L17.2,ENSG00000236601,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP4-669L17.10,ENSG00000237094,0,0,0,0.0033832273938896864,0.0014668370633068616,33,99.66167726061104,33.0,1.5314789170422551
OR4F29,ENSG00000278566,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP5-857K21.4,ENSG00000230021,0,0,0,0.00030756612671724423,0.00013355373440395,3,99.96924338732828,3.0,0.6020599913279624
RP5-857K21.2,ENSG00000235146,0,0,0,0.0,0.0,0,100.0,0.0,0.0
OR4F16,ENSG00000273547,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP11-206L10.4,ENSG00000229905,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP11-206L10.9,ENSG00000237491,0,0,0,0.04305925774041419,0.018308982039788417,406,95.83760508509329,420.0,2.6242820958356683
FAM87B,ENSG00000177757,0,0,0,0.0001025220422390814,4.4522474989331306e-05,1,99.9897477957761,1.0,0.3010299956639812
LINC00115,ENSG00000225880,0,0,0,0.020299364363338117,0.008727616091195912,195,98.00082017633791,198.0,2.298853076409707
FAM41C,ENSG00000230368,0,0,0,0.009226983801517326,0.003988853775217382,90,99.07730161984827,90.0,1.9590413923210936
RP11-54O7.16,ENSG00000272438,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP11-54O7.1,ENSG00000230699,0,0,0,0.00030756612671724423,0.00013355373440395,3,99.96924338732828,3.0,0.6020599913279624
RP11-54O7.2,ENSG00000241180,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP11-54O7.3,ENSG00000223764,0,0,0,0.0,0.0,0,100.0,0.0,0.0
SAMD11,ENSG00000187634,0,0,0,0.0006151322534344885,0.00026706641114427704,6,99.93848677465655,6.0,0.8450980400142568
NOC2L,ENSG00000188976,0,0,0,0.298544187000205,0.11345673243575247,2381,75.58950174287472,2912.0,3.4643404846276673
KLHL17,ENSG00000187961,0,0,0,0.005228624154193152,0.0022648467482553557,49,99.4976419930285,51.0,1.7160033436347992
PLEKHN1,ENSG00000187583,0,0,0,0.002255484929259791,0.0009784416429314742,22,99.77445150707402,22.0,1.3617278360175928
PERM1,ENSG00000187642,0,0,0,0.0,0.0,0,100.0,0.0,0.0
RP11-54O7.17,ENSG00000272512,0,0,0,0.0,0.0,0,100.0,0.0,0.0
HES4,ENSG00000188290,0,0,0,0.008714373590321919,0.0037682093148989114,59,99.39511995078942,85.0,1.9344984512435677
ISG15,ENSG00000187608,0,0,0,0.2248308386303055,0.08807611243740052,1714,82.42772196022145,2193.0,3.3412366232386925
RP11-54O7.11,ENSG00000224969,0,0,0,0.0,0.0,0,100.0,0.0,0.0
AGRN,ENSG00000188157,0,0,0,0.0021529628870207095,0.0009340148123568948,20,99.79495591552183,21.0,1.3424226808222062
RP11-54O7.18,ENSG00000273443,0,0,0,0.0,0.0,0,100.0,0.0,0.0
